City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,waiuku,-37.25,174.75,20.47,77,97,7.0,NZ,2023-12-12
241,warmbad,-28.45,18.7333,20.04,26,0,5.1,NA,2023-12-12
242,bonito,-21.1211,-56.4819,25.38,68,2,0.74,BR,2023-12-12
243,san bernardo del viento,9.3533,-75.9524,27.98,86,24,4.44,CO,2023-12-12
244,praia da vitoria,38.7333,-27.0667,14.14,77,20,5.02,PT,2023-12-12
245,fabens,31.5023,-106.1586,14.62,16,85,1.95,US,2023-12-12
246,hamilton,39.1834,-84.5333,2.21,76,0,0.89,US,2023-12-12
247,totness,5.8833,-56.3167,25.31,89,35,3.51,SR,2023-12-12
248,qarqaraly,49.4058,75.4742,-26.68,95,100,4.87,KZ,2023-12-12
249,dakhla,23.6848,-15.958,20.21,42,41,5.62,EH,2023-12-12
250,piti village,13.4626,144.6933,31.49,73,75,6.17,GU,2023-12-12
251,khandyga,62.6667,135.6,-33.98,99,100,0.17,RU,2023-12-12
252,sri dungargarh,28.0833,74.0167,15.18,27,6,2.5,IN,2023-12-12
253,arraial do cabo,-22.9661,-42.0278,22.98,94,100,2.06,BR,2023-12-12
254,poltavka,54.3663,71.7632,-28.75,93,6,4.37,RU,2023-12-12
255,laguna,38.421,-121.4238,16.17,47,0,2.06,US,2023-12-12
256,fale old settlement,-9.3852,-171.2468,28.93,77,100,9.22,TK,2023-12-12
257,kailua-kona,19.6406,-155.9956,29.04,81,40,3.6,US,2023-12-12
258,ivatsevichy,52.709,25.3401,1.0,100,100,5.41,BY,2023-12-12
259,mana,5.6592,-53.7767,25.83,90,70,3.55,GF,2023-12-12
260,chibougamau,49.9168,-74.3659,-10.21,92,100,4.12,CA,2023-12-12
261,tralee,52.2704,-9.7026,7.6,94,100,2.22,IE,2023-12-12
262,aljezur,37.3191,-8.8033,16.5,95,100,2.27,PT,2023-12-12
263,apatity,67.5641,33.4031,-21.3,100,86,0.33,RU,2023-12-12
264,banda aceh,5.5577,95.3222,25.68,84,83,1.49,ID,2023-12-12
265,qamdo,31.1667,97.2333,-10.56,44,2,2.13,CN,2023-12-12
266,hammerfest,70.6634,23.6821,-1.75,100,75,5.14,NO,2023-12-12
267,almazan,41.4865,-2.5309,8.16,91,100,2.74,ES,2023-12-12
268,novaya mayna,54.15,49.75,-17.98,84,93,6.75,RU,2023-12-12
269,ostrovskoye,57.8057,42.2433,-10.39,93,100,6.5,RU,2023-12-12
270,zahedan,29.4963,60.8629,3.95,45,0,3.09,IR,2023-12-12
271,al bardiyah,31.7561,25.0865,14.95,71,1,3.29,LY,2023-12-12
272,goz beida,13.95,20.55,18.94,25,73,5.85,TD,2023-12-12
273,brookings,44.3114,-96.7984,2.81,72,100,4.12,US,2023-12-12
274,taksimo,56.3444,114.8794,-33.78,96,63,0.27,RU,2023-12-12
275,callao,-12.0667,-77.15,23.18,77,40,4.63,PE,2023-12-12
276,mikuni,36.2171,136.1519,11.95,94,100,4.29,JP,2023-12-12
277,sao jose da coroa grande,-8.8978,-35.1478,25.93,75,0,4.26,BR,2023-12-12
278,gizo,-8.103,156.8419,28.2,75,75,4.34,SB,2023-12-12
279,fortuna,40.5982,-124.1573,13.85,92,0,1.54,US,2023-12-12
280,lorengau,-2.0226,147.2712,29.55,76,94,5.29,PG,2023-12-12
281,isabela,6.7085,121.9711,30.03,74,1,3.4,PH,2023-12-12
282,touros,-5.1989,-35.4608,26.63,75,0,6.03,BR,2023-12-12
283,barah,13.7,30.3667,21.29,15,49,4.25,SD,2023-12-12
284,sinabang,2.4803,96.3801,25.83,84,96,1.94,ID,2023-12-12
285,murghob,38.1702,73.9667,-11.86,76,38,4.86,TJ,2023-12-12
